PID,Name of Project,Description,Sponsor-Full,Sponsor-Abb,System,WaterManagement,SoilNutrientandLandManagem,GeneticResources,EnergyManagement,OtherThematicAreas,org_type,ImplementingAgencies,Region,District,Community,Status,Year Approved,Year Completed,Link,CSA Technology,Contact Person,Contact Number,Commodity/Livestock,Beneficiaries,subcategory,Agro-ecological suitability of practices (e.g. drought-tolerant varieties),"If Yes, How?",Soil fertility management techniques suited to soil types ,"If Yes, How?.1",Climate forecasting and early warning systems,"If Yes, How?.2",Access to input and output markets ,"If Yes, How?.3",Financial capital/credit availability,"If Yes, How?.4","Rural infrastructure (roads, irrigation, electricity)","If Yes, How?.5",Education/training programs building farmer skills,"If Yes, How?.6",Community cooperative models for resources/labor sharing,"If Yes, How?.7"
P080,Ghana Poultry Project,"The USDA-sponsored Ghana Poultry Project increased targeted sector commercial performance by building coordination between firms, promoting the adoption of quality standards, strengthening business planning and market-penetration strategies, and reinforcing buyer-supplier linkages.",United Sates Department of Agriculture ,USDA,Livestock Production,,,,,Yes-Agribusiness,ngo,"ACDI-VOCA, TechnoServe ",Brong Ahafo,,,Completed,2015,2021,https://www.acdivoca.org/2022/01/usda-ghana-poultry-project-ends-critical-activities-continue/,,,,Poultry,"19,300 people",,No,,No,,No,,Yes,"reinforce the linkages between suppliers, distributers, and retailers of veterinary products in collaboration with Veterinary Services, reinforce commercial linkages with input suppliers by promoting sales contracts/agreements with buyers brokered by the project",Yes,"loans, improve access to affordable financing by promoting partnerships among financial institutions, a subgrant program",No,,Yes,"Capacity Building, Trainings, demonstrations",No,
P042,Sustainable Fisheries Management Project (SFMP),Rebuild marine fisheries stocks and catches through adoption of responsible fishing practices.,United States Agency for International Development ,USAID,Aquaculture,Yes,,,,"Yes-Rebuilding marine fish stock, climate change, capacity building",government," Coastal Resources Center,Ministry of Fisheries and Aquaculture Development and the Fisheries Commission,Rhode Island’s Graduate School of Oceanography, SNV Netherlands Development Organization",Greater Accra,"Accra Metro. Dangbe East/West, Ga south, Tema Municipal","Ada Foah, Tema",Completed,2014,2021,https://www.crc.uri.edu/download/GH2014_PGM357_CRC_FIN508.pdf,,,"USAID/Ghana Sustainable Fisheries Management Project Coastal Resources Center Graduate School of Oceanography University of Rhode Island 220 South Ferry Rd. Narragansett, RI 02882 USA Tel: 401-874-6224 Fax: 401-874-6920 Email: info@crc.uri.edu",FISH,men and women in the artisanal canoe fishery who rely on the fishery as their main livelihood,,No,,No,,No,,Yes,"Fingerlings, fish processing equipmment",Yes,"Capital disbursement, loans",No,,Yes,"Trainings, demonstrations",Yes,
P042,Sustainable Fisheries Management Project (SFMP),Rebuild marine fisheries stocks and catches through adoption of responsible fishing practices.,United States Agency for International Development ,USAID,Aquaculture,Yes,,,,"Yes-Rebuilding marine fish stock, climate change, capacity building",government," Coastal Resources Center,Ministry of Fisheries and Aquaculture Development and the Fisheries Commission,Rhode Island’s Graduate School of Oceanography, SNV Netherlands Development Organization",Western Region,"Ahanta West, Ellembelle, Nzema east, Sekondi-Takoradi.",Sekondi/ Tarkoradi,Completed,2014,2021,https://www.crc.uri.edu/download/GH2014_PGM357_CRC_FIN508.pdf,,,"USAID/Ghana Sustainable Fisheries Management Project Coastal Resources Center Graduate School of Oceanography University of Rhode Island 220 South Ferry Rd. Narragansett, RI 02882 USA Tel: 401-874-6224 Fax: 401-874-6920 Email: info@crc.uri.edu",FISH,men and women in the artisanal canoe fishery who rely on the fishery as their main livelihood,,No,,No,,No,,Yes,"Fingerlings, fish processing equipmment",Yes,"Capital disbursement, loans",No,,Yes,"Trainings, demonstrations",Yes,
P042,Sustainable Fisheries Management Project (SFMP),Rebuild marine fisheries stocks and catches through adoption of responsible fishing practices.,United States Agency for International Development ,USAID,Aquaculture,Yes,,,,"Yes-Rebuilding marine fish stock, climate change, capacity building",government," Coastal Resources Center,Ministry of Fisheries and Aquaculture Development and the Fisheries Commission,Rhode Island’s Graduate School of Oceanography, SNV Netherlands Development Organization",Central Region,"Cape coast, Efutu municipal, Gomoa east/west, Komenda","Winneba, Half Assini. Elmina, Apam",Completed,2014,2021,https://www.crc.uri.edu/download/GH2014_PGM357_CRC_FIN508.pdf,,,"USAID/Ghana Sustainable Fisheries Management Project Coastal Resources Center Graduate School of Oceanography University of Rhode Island 220 South Ferry Rd. Narragansett, RI 02882 USA Tel: 401-874-6224 Fax: 401-874-6920 Email: info@crc.uri.edu",FISH,men and women in the artisanal canoe fishery who rely on the fishery as their main livelihood,,No,,No,,No,,Yes,"Fingerlings, fish processing equipmment",Yes,"Capital disbursement, loans",No,,Yes,"Trainings, demonstrations",Yes,
P042,Sustainable Fisheries Management Project (SFMP),Rebuild marine fisheries stocks and catches through adoption of responsible fishing practices.,United States Agency for International Development ,USAID,Aquaculture,Yes,,,,"Yes-Rebuilding marine fish stock, climate change, capacity building",government," Coastal Resources Center,Ministry of Fisheries and Aquaculture Development and the Fisheries Commission,Rhode Island’s Graduate School of Oceanography, SNV Netherlands Development Organization",Volta Region,"Keta, Ketu south","Keta, Denu",Completed,2014,2021,https://www.crc.uri.edu/download/GH2014_PGM357_CRC_FIN508.pdf,,,"USAID/Ghana Sustainable Fisheries Management Project Coastal Resources Center Graduate School of Oceanography University of Rhode Island 220 South Ferry Rd. Narragansett, RI 02882 USA Tel: 401-874-6224 Fax: 401-874-6920 Email: info@crc.uri.edu",FISH,men and women in the artisanal canoe fishery who rely on the fishery as their main livelihood,,No,,No,,No,,Yes,"Fingerlings, fish processing equipmment",Yes,"Capital disbursement, loans",No,,Yes,"Trainings, demonstrations",Yes,
P077,Food Security and Resilience Project (FSRP),"The FSRP2 will contribute to enhancing the capacity of vulnerable households, families, communities, and food systems within the country to face uncertainty and the risk of shocks; to withstand and respond effectively to shocks; as well as to recover and adapt in a sustainable manner.",World Bank,WB,Food system risk management,No,Yes,No,Yes,Yes-land degradation,ngo,ALLIANCE BIODIVERSITY CIAT,,,,Ongoing,2021, ,https://mofa.gov.gh/site/programmes/fsrp,Integrated pest management,NIL,NIL,NIL,"vulnerable households, families, communities, and food systems ",,No,,No,,No,,No,,No,,No,,No,,No,
P149,Planting for Food and Jobs,"The PFJ program aims at contributing to the modernization of the agriculture sector, thereby leading to structural transformation of national economy through food security, employment opportunities, and reduced poverty.",Government of Ghana,GoG,Crop Production,Yes,Yes,Yes,Yes,Yes-Multi focal area,government,MoFA,All regions,All districts,,Completed,2017,2020,https://www.afi-global.org/sites/default/files/publications/2018-12/Case%20Study_Agricultural%20Finance%20Interventions%20in%20Ghana_Final.pdf,"certified seeds, fertilization",,,"maize,
rice, sorghum, soya bean, tomato, onion and chili
pepper.",,,No,,Yes,Use of ferilizers,No,,Yes,Subsidy on fertilizers,No,,No,,No,,No,
P046,Banana Accompanying Measures (BAM) for Ghana,"The project is focused on improving the competitiveness of the banana export industry in the face of the tariff preference erosion in the EU market, while ensuring its environmental and socio-economic sustainability in the long run.",European Union,EU,Crop Production ,No,Yes ,No,Yes,Yes-Multi focal area,ngo,"GOLDEN EXOTIC LIMITED, VOLTA RIVER ESTATES LTD",Greater Accra,Shai Osoduku ,"Kasunya, Asutsuare",Completed,2013,2020,https://www.eeas.europa.eu/sites/default/files/documents/2023/33.%20Growth_BANANA%20PROJECT.pdf,Organic compost,NIL,g.kporye@gelgh.com; huubvandenbroek@voltariver.com,Banana,banana workers and their families;,,No,,Yes,Composting,No,,No,,No,,Yes,"The construction of 224 houses and social
infrastructure at Kasunja for Golden Exotic
Limited (GEL) is completed and will provide
housing for some 800-900 people in total.
• The organic composting project for Volta River
Estate Limited is fully operational",,,No,
P046,Banana Accompanying Measures (BAM) for Ghana,"The project is focused on improving the competitiveness of the banana export industry in the face of the tariff preference erosion in the EU market, while ensuring its environmental and socio-economic sustainability in the long run.",European Union,EU,Crop Production ,No,Yes ,No,Yes,Yes-Multi focal area,ngo,"GOLDEN EXOTIC LIMITED, VOLTA RIVER ESTATES LTD",Eastern Region,Akwamu,"Kasunya, Asutsuare",Completed,2013,2020,https://www.eeas.europa.eu/sites/default/files/documents/2023/33.%20Growth_BANANA%20PROJECT.pdf,Organic compost,NIL,g.kporye@gelgh.com; huubvandenbroek@voltariver.com,Banana,banana workers and their families;,,No,,Yes,Composting,No,,No,,No,,Yes,"The construction of 224 houses and social
infrastructure at Kasunja for Golden Exotic
Limited (GEL) is completed and will provide
housing for some 800-900 people in total.
• The organic composting project for Volta River
Estate Limited is fully operational",,,No,
P056,Fish for Development Project (FIDEP) Adentan,"The Fish for Development (FIDEP) Project is a 40- month-long Local Economic Development Project seeking to promote local sustainable economic growth and development through fish farming in the Adentan Municipality. It aims at alleviating poverty through the creation of employment for women, persons with disability (PWDs), youth and vulnerable groups along the fish value chain within the Adentan Municipality. A consortium of three partners is implementing the project: Adentan Municipal Assembly (AdMA), Centre for Local Governance Advocacy (CLGA) and Local Governance Network (LoGNet).",European Union,EU,Aquaculture,Yes ,Yes ,No,Yes,Yes-Biodiversity,government,"Adentan Municipal Assembly (AdMA), Centre for Local Governance Advocacy (CLGA) and Local Governance Network (LoGNet)",Greater Accra,adentan municipality,,Completed,2019,2022,,,nil,fishfordevelopment@gmail.com,fish,"2,220 People",coastal and fisheries governance,No,,No,,No,,Yes,"Provision of needed infrastructure and training
along the entire value chain to promote the
fish industry.",No,,Yes,"Demonstration and processing centre,
hatchery, nursery and cages constructed",Yes,Demonstrations,No,
P059,Promoting Mushroom Industry in Adentan Municipality,"Objectives of the Project Specifically, the project sought to: Create employment for women, Persons with disabilities, youth and improve and sustain incomes of mushroom farmers. · Develop an environmentally sustainable production chain in mushroom industry in the Adentan Municipality. · Promote mushroom production for job creation, reduction of poverty and increase revenue within the Municipal Assembly. · Generate higher incomes.",European Union,EU,Crop Prodcution,Yes ,Yes ,yes,Yes,Yes,government,"Adentan Municipal Assembly (AdMA), Centre for Local Governance Advocacy (CLGA) and Local Governance Network (LoGNet)",Greater Accra,adentan municipality,,Completed,2016,2020,,,209427574,adentanpromuch@gmail.com,mushroom,"Over 6,508 persons",,No,,No,,No,,No,,No,,No,,Yes,Demonstrations,No,
P025,Commercial Agriculture Project (GCAP),"Improve agricultural productivity of both small-holder and nucleus farms in selected project intervention areas through increased access to reliable water, land, finance and agricultural input and output markets",Government of Ghana,GoG,Crop production,Yes ,,,,Yes-Water managemenet,government,"Lands Commission, Irrigation Company of the Upper Region, Ministry of Food and Agriculture, Ghana Irrigation Development Authority",Greater Accra,,,Completed,2012,2021,https://projects.worldbank.org/en/projects-operations/project-detail/P114264,irrigation,Sheu Salau,,"rice, maize, horticulture crops, maize, rice, soyabean.","six (6) investors, 31 nucleus farmers and 6,480 beneficiaries (outgrowers).",,No,,No,,No,,Yes,Irrigation pumps,No,,Yes,"A total of 42.5km of canals (26.5km being newly constructed), and 111.6km of farm roads, Tono Irrigation Scheme, Kpong Irrigation Scheme",No,,No,
P025,Commercial Agriculture Project (GCAP),"Improve agricultural productivity of both small-holder and nucleus farms in selected project intervention areas through increased access to reliable water, land, finance and agricultural input and output markets",Government of Ghana,GoG,Crop production,Yes ,,,,Yes-Water managemenet,government,"Lands Commission, Irrigation Company of the Upper Region, Ministry of Food and Agriculture, Ghana Irrigation Development Authority",Volta Region,,,Completed,2012,2021,https://projects.worldbank.org/en/projects-operations/project-detail/P114264,irrigation,Sheu Salau,,"rice, maize, horticulture crops, maize, rice, soyabean.","six (6) investors, 31 nucleus farmers and 6,480 beneficiaries (outgrowers).",,No,,No,,No,,Yes,Irrigation pumps,No,,Yes,"A total of 42.5km of canals (26.5km being newly constructed), and 111.6km of farm roads, Tono Irrigation Scheme, Kpong Irrigation Scheme",No,,No,
P025,Commercial Agriculture Project (GCAP),"Improve agricultural productivity of both small-holder and nucleus farms in selected project intervention areas through increased access to reliable water, land, finance and agricultural input and output markets",Government of Ghana,GoG,Crop production,Yes ,,,,Yes-Water managemenet,government,"Lands Commission, Irrigation Company of the Upper Region, Ministry of Food and Agriculture, Ghana Irrigation Development Authority",Brong Ahafo,,,Completed,2012,2021,https://projects.worldbank.org/en/projects-operations/project-detail/P114264,irrigation,Sheu Salau,,"rice, maize, horticulture crops, maize, rice, soyabean.","six (6) investors, 31 nucleus farmers and 6,480 beneficiaries (outgrowers).",,No,,No,,No,,Yes,Irrigation pumps,No,,Yes,"A total of 42.5km of canals (26.5km being newly constructed), and 111.6km of farm roads, Tono Irrigation Scheme, Kpong Irrigation Scheme",No,,No,
P025,Commercial Agriculture Project (GCAP),"Improve agricultural productivity of both small-holder and nucleus farms in selected project intervention areas through increased access to reliable water, land, finance and agricultural input and output markets",Government of Ghana,GoG,Crop production,Yes ,,,,Yes-Water managemenet,government,"Lands Commission, Irrigation Company of the Upper Region, Ministry of Food and Agriculture, Ghana Irrigation Development Authority",Upper West Region,,,Completed,2012,2021,https://projects.worldbank.org/en/projects-operations/project-detail/P114264,irrigation,Sheu Salau,,"rice, maize, horticulture crops, maize, rice, soyabean.","six (6) investors, 31 nucleus farmers and 6,480 beneficiaries (outgrowers).",,No,,No,,No,,Yes,Irrigation pumps,No,,Yes,"A total of 42.5km of canals (26.5km being newly constructed), and 111.6km of farm roads, Tono Irrigation Scheme, Kpong Irrigation Scheme",No,,No,
P025,Commercial Agriculture Project (GCAP),"Improve agricultural productivity of both small-holder and nucleus farms in selected project intervention areas through increased access to reliable water, land, finance and agricultural input and output markets",Government of Ghana,GoG,Crop production,Yes ,,,,Yes-Water managemenet,government,"Lands Commission, Irrigation Company of the Upper Region, Ministry of Food and Agriculture, Ghana Irrigation Development Authority",Upper East Region,,,Completed,2012,2021,https://projects.worldbank.org/en/projects-operations/project-detail/P114264,irrigation,Sheu Salau,,"rice, maize, horticulture crops, maize, rice, soyabean.","six (6) investors, 31 nucleus farmers and 6,480 beneficiaries (outgrowers).",,No,,No,,No,,Yes,Irrigation pumps,No,,Yes,"A total of 42.5km of canals (26.5km being newly constructed), and 111.6km of farm roads, Tono Irrigation Scheme, Kpong Irrigation Scheme",No,,No,
P025,Commercial Agriculture Project (GCAP),"Improve agricultural productivity of both small-holder and nucleus farms in selected project intervention areas through increased access to reliable water, land, finance and agricultural input and output markets",Government of Ghana,GoG,Crop production,Yes ,,,,Yes-Water managemenet,government,"Lands Commission, Irrigation Company of the Upper Region, Ministry of Food and Agriculture, Ghana Irrigation Development Authority",Northern Region,,,Completed,2012,2021,https://projects.worldbank.org/en/projects-operations/project-detail/P114264,irrigation,Sheu Salau,,"rice, maize, horticulture crops, maize, rice, soyabean.","six (6) investors, 31 nucleus farmers and 6,480 beneficiaries (outgrowers).",,No,,No,,No,,Yes,Irrigation pumps,No,,Yes,"A total of 42.5km of canals (26.5km being newly constructed), and 111.6km of farm roads, Tono Irrigation Scheme, Kpong Irrigation Scheme",No,,No,
P067,No-Till Programme - NO DOCUMENT,"The no-till programme was jointly implemented by Sasakawa Global 2000 and
Monsanto. It focused on promoting direct planting and using plant mulch that was
derived mainly by using herbicides. The objective was to improve productivity by
improving soil organic matter and reducing weed load.
The project also worked with input suppliers and credit agencies to address input
problems that were seen as a precondition for successfully implementing the
minimum tillage programme.",,,Crop Prodcution,No,Yes ,no,no,,government,"Crops Research Institute, MOFA, University of Development Studies, Dizengoff Gh Ltd",national,,,Completed,1992,2005,,,,,,,,,,,,,,,,,,,,,,,
P075,GASIP,The programme development objective is to enhance the profitability and climate change resilience of the agribusiness of the targeted population.,"International Fund for Agricultural Development, Government of Ghana"," IFAD, GOG","Crop production, AGRIBUSINESS",Yes,Yes,No,Yes,Yes-Multi focal area,government,MOFA,NATIONAL,,,Completed,2015,2021, ,"conservation agriculture, water harvesting, irrigation",NIL,NIL,"rice, maize, soya, cassava, vegetables",smallholder farmers and resource-poor rural people,AGROFORESTRY,No,,Yes,use of conservation agriculture,No,,Yes,Tractors,Yes,"Loans, grants",Yes,"Feeder Roads
Km of rural roads rehabilitated (RIMS) - 1200 km
Km of rural electrical connections - 450 km
Irrigation Schemes",Yes,"Training , demonstrations",No,
P070,Bio4Africa project,the project will test small scale bio-based technologies with potential to improve the livelihood and food security of transhumant patoralist communities and help curtail the nomad/ farmer conflict over grazing lands and pasture,European Union,EU,"Crop Prodcution, livestock production",No,Yes ,No,Yes,Yes-Multi focal area,ngo,Nasia and Yagaba-Kubori Farmer groups,North East Region,"Mamprugu Moagduri, West Mamprusi Municipal","Nasia, Yagaba-Kubori ",Ongoing,2021,2025,,Biochar for soil amendment,,,"animal feed, fertiliser, pollutant absorbents, construction materials, packaging, solid fuel for cooking, and ingredients for biogas production",45 farmer groups,green economy,No,,No,,No,,No,,No,,No,,No,,Yes,45 farmer groups working on the project
P054,LANDSCAPES AND ENVIRONMENTAL AGILITY ACROSS THE NATION (LEAN),"The overall objective of this action is to optimise the contribution of land to agriculture, food security, climate change mitigation and adaptation, and the preservation of ecosystems and of the essential services, they provide.","European Union, RAINFOREST ALLIANCE
Tropenbos International Ghana, EcoCare Ghana & World Vision",EU,Land management,Yes,Yes ,No,Yes,,ngo,"Rainforest Alliance, Tropenbos International Ghana, EcoCare Ghana & World Vision",nil,nil,,Ongoing,2021,2025,,,Kwame Mensah,cmensah@ra.org,,"smallholder farmers and youth,",,No,,No,,No,,No,,No,,No,,Yes,"Training, extension service",No,
P065,Savannah Resources Management Project (SRMP),"The Savannah Resources Management Project (SRMP) was a national programme
that focused on developing sustainable land-management systems. It promoted the
use of organic resources as a means of improving land resources. It did not have a
strong conservation agriculture focus but contained elements such as keeping the
soil covered using plant debris.","World Bank, Global Environmental Facility","WB, GEF","Land management, Forestry, Crop production, Forestry",No,Yes ,no,yes,Yes-Multi focal area,government,Ministry of Lands and Forestry,Northern Region,"Bole District, West Gonja District, Tamale Metro., Kumbungu District, West Mamprusi District","Kenikeni, Naaha, Samoa-Pina, Sonyo, Larabanga, Aboabo, Tolon Yipeligu, Tamale, Walewale",Completed,1999,2003,Savannah Investment Programme (SIP) (mofa.gov.gh),"soil bunding, crop rotation, mulching, preservation, agroforestry, boundary planting, contour bounding, composting of crop residue",,," goats, rams, pigs, soya beans",,,No,,Yes,,No,,Yes,"propagation bins, potting facilities, water tanks and spray equipment",No,,Yes,"Irrigation systems, 13 residential accommodation for staff, 6 rehabilitated quarters, technology systems demonstration center, ",Yes-,"Training, demonstrations",Yes,36 village level groups were formed
P065,Savannah Resources Management Project (SRMP),"The Savannah Resources Management Project (SRMP) was a national programme
that focused on developing sustainable land-management systems. It promoted the
use of organic resources as a means of improving land resources. It did not have a
strong conservation agriculture focus but contained elements such as keeping the
soil covered using plant debris.","World Bank, Global Environmental Facility","WB, GEF","Land management, Forestry, Crop production, Forestry",No,Yes ,no,yes,Yes-Multi focal area,government,Ministry of Lands and Forestry,Upper East Region,Bolgatanga Municipal District ,"Bolgatanga, Pwalugu",Completed,1999,2003,Savannah Investment Programme (SIP) (mofa.gov.gh),"soil bunding, crop rotation, mulching, preservation, agroforestry, boundary planting, contour bounding, composting of crop residue",,," goats, rams, pigs, soya beans",,,No,,Yes,,No,,Yes,"propagation bins, potting facilities, water tanks and spray equipment",No,,Yes,"Irrigation systems, 13 residential accommodation for staff, 6 rehabilitated quarters, technology systems demonstration center, ",Yes-,"Training, demonstrations",Yes,36 village level groups were formed
P065,Savannah Resources Management Project (SRMP),"The Savannah Resources Management Project (SRMP) was a national programme
that focused on developing sustainable land-management systems. It promoted the
use of organic resources as a means of improving land resources. It did not have a
strong conservation agriculture focus but contained elements such as keeping the
soil covered using plant debris.","World Bank, Global Environmental Facility","WB, GEF","Land management, Forestry, Crop production, Forestry",No,Yes ,no,yes,Yes-Multi focal area,government,Ministry of Lands and Forestry,Upper West Region,Wa Municipal District,"Sinsagblewini, Wa",Completed,1999,2003,Savannah Investment Programme (SIP) (mofa.gov.gh),"soil bunding, crop rotation, mulching, preservation, agroforestry, boundary planting, contour bounding, composting of crop residue",,," goats, rams, pigs, soya beans",,,No,,Yes,,No,,Yes,"propagation bins, potting facilities, water tanks and spray equipment",No,,Yes,"Irrigation systems, 13 residential accommodation for staff, 6 rehabilitated quarters, technology systems demonstration center, ",Yes-,"Training, demonstrations",Yes,36 village level groups were formed
P048,Northern Ghana Integrated Development Project (NGIDP),"The project intends to improve the resilience to climate change, promote sustainable employment opportunities, decent work and access to social protection schemes.",European Union,EU,sustainable development,No,Yes ,No,Yes,,ngo,ACTIONAID GHANA,Northern Region,,,Completed,2019,2023,The Northern Ghana Integrated Development Project (NGIDP) | URBANET (urbanetgh.org),,+233 (0) 24 431 6392 / +233 (0) 28 910 9560;,aaghana@actionaid.org,,"CivilSociety Organisations (CSOs) and networks of
Society Organisations (CSOs) and networks of
smallholder farmers.",,Yes,"Effective  biodiversity  preservation  and 
sustainable agricultural practices that contribute to the green economy
",,,,,,,,,,,Yes-,"Increased  income  levels  of  women  and  young  people through the processing of non timber forest products, agricultural value chain business and social enterprise",Yes,"Increased access to quality social protection schemes 
for people living in poverty in rural agrarian areas
"
P048,Northern Ghana Integrated Development Project (NGIDP),"The project intends to improve the resilience to climate change, promote sustainable employment opportunities, decent work and access to social protection schemes.",European Union,EU,sustainable development,No,Yes ,No,Yes,,ngo,ACTIONAID GHANA,Upper East Region,,,Completed,2019,2023,The Northern Ghana Integrated Development Project (NGIDP) | URBANET (urbanetgh.org),,+233 (0) 24 431 6392 / +233 (0) 28 910 9560;,aaghana@actionaid.org,,"CivilSociety Organisations (CSOs) and networks of
Society Organisations (CSOs) and networks of
smallholder farmers.",,Yes,"Effective  biodiversity  preservation  and 
sustainable agricultural practices that contribute to the green economy
",,,,,,,,,,,Yes-,"Increased  income  levels  of  women  and  young  people through the processing of non timber forest products, agricultural value chain business and social enterprise",Yes,"Increased access to quality social protection schemes 
for people living in poverty in rural agrarian areas
"
P048,Northern Ghana Integrated Development Project (NGIDP),"The project intends to improve the resilience to climate change, promote sustainable employment opportunities, decent work and access to social protection schemes.",European Union,EU,sustainable development,No,Yes ,No,Yes,,ngo,ACTIONAID GHANA,Upper West Region,,,Completed,2019,2023,The Northern Ghana Integrated Development Project (NGIDP) | URBANET (urbanetgh.org),,+233 (0) 24 431 6392 / +233 (0) 28 910 9560;,aaghana@actionaid.org,,"CivilSociety Organisations (CSOs) and networks of
Society Organisations (CSOs) and networks of
smallholder farmers.",,Yes,"Effective  biodiversity  preservation  and 
sustainable agricultural practices that contribute to the green economy
",,,,,,,,,,,Yes-,"Increased  income  levels  of  women  and  young  people through the processing of non timber forest products, agricultural value chain business and social enterprise",Yes,"Increased access to quality social protection schemes 
for people living in poverty in rural agrarian areas
"
P079,Multispecies Fodder Bank as Climate-Smart Option for an Improved Livestock Nutrition in Northern Ghana,"The project focused on the development of a multispecies fodder bank that concentrates the species with forbs, grasses and fast growing fodder legumes has been identified as an opportunity for ensuring sustainable all-year-round fodder production and availability. The fodder banks has been diagnosed as an innovative approach to improving livestock nutrition during dry seasons and fodder scarcity period",,,Livestock Production,No,Yes,No,Yes,,ngo, International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) and The Council for Scientific and Industrial Research-Animal Research Institute (CSIR-ARI) ,Northern Region,,,,,,https://ccafs.cgiar.org/research/projects/multispecies-fodder-bank-climate-smart-option-improved-livestock-nutrition,Fodder production nand storage,"Robert B. Zougmoré, Franklin Avornyo","r.zougmore@cgiar.org, favornyo@yahoo.com",FODDER,pastoralists AND FARMERS,,Yes,Preparation and storasge of fodder,,,,,,,,,,,Yes,Establish a multi-species fodder bank with farmers to demonstrate efficacy for climate-smart livestock production,,
P079,Multispecies Fodder Bank as Climate-Smart Option for an Improved Livestock Nutrition in Northern Ghana,"The project focused on the development of a multispecies fodder bank that concentrates the species with forbs, grasses and fast growing fodder legumes has been identified as an opportunity for ensuring sustainable all-year-round fodder production and availability. The fodder banks has been diagnosed as an innovative approach to improving livestock nutrition during dry seasons and fodder scarcity period",,,Livestock Production,No,Yes,No,Yes,,ngo, International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) and The Council for Scientific and Industrial Research-Animal Research Institute (CSIR-ARI) ,Upper East Region,,,,,,https://ccafs.cgiar.org/research/projects/multispecies-fodder-bank-climate-smart-option-improved-livestock-nutrition,Fodder production nand storage,"Robert B. Zougmoré, Franklin Avornyo","r.zougmore@cgiar.org, favornyo@yahoo.com",FODDER,pastoralists AND FARMERS,,Yes,Preparation and storasge of fodder,,,,,,,,,,,Yes,Establish a multi-species fodder bank with farmers to demonstrate efficacy for climate-smart livestock production,,
P079,Multispecies Fodder Bank as Climate-Smart Option for an Improved Livestock Nutrition in Northern Ghana,"The project focused on the development of a multispecies fodder bank that concentrates the species with forbs, grasses and fast growing fodder legumes has been identified as an opportunity for ensuring sustainable all-year-round fodder production and availability. The fodder banks has been diagnosed as an innovative approach to improving livestock nutrition during dry seasons and fodder scarcity period",,,Livestock Production,No,Yes,No,Yes,,ngo, International Crops Research Institute for the Semi-Arid Tropics (ICRISAT) and The Council for Scientific and Industrial Research-Animal Research Institute (CSIR-ARI) ,Upper West Region,,,,,,https://ccafs.cgiar.org/research/projects/multispecies-fodder-bank-climate-smart-option-improved-livestock-nutrition,Fodder production nand storage,"Robert B. Zougmoré, Franklin Avornyo","r.zougmore@cgiar.org, favornyo@yahoo.com",FODDER,pastoralists AND FARMERS,,Yes,Preparation and storasge of fodder,,,,,,,,,,,Yes,Establish a multi-species fodder bank with farmers to demonstrate efficacy for climate-smart livestock production,,
P138, Africa Upland Farming System,"The project involves the development of soil and cultivation management technologies that improve productivity, profitability and sustainability, and dissemination of recommended technologies to small-scale farmers in the wet and dry savannas in Africa",,,Crop Production,Yes,Yes,No,No,,ngo,JIRCAS ,Northern Region,,,Ongoing,2022,,https://www.jircas.go.jp/en/program/prob/b6,Development of crop and soil management practices,,,,"Small-scale farmers and extension agencies in the target area, research institutions in the target country, Japanese companies",TVET actions,Yes,Development of sustainable crop and field management technologies and evaluation of their combined applications,Yes,Development of soil conservation standards and soil conservation technologies for dry savanna,,,,,,,,,,,,
P138, Africa Upland Farming System,"The project involves the development of soil and cultivation management technologies that improve productivity, profitability and sustainability, and dissemination of recommended technologies to small-scale farmers in the wet and dry savannas in Africa",,,Crop Production,Yes,Yes,No,No,,ngo,JIRCAS ,Upper East Region,,,Ongoing,2022,,https://www.jircas.go.jp/en/program/prob/b6,Development of crop and soil management practices,,,,"Small-scale farmers and extension agencies in the target area, research institutions in the target country, Japanese companies",TVET actions,Yes,Development of sustainable crop and field management technologies and evaluation of their combined applications,Yes,Development of soil conservation standards and soil conservation technologies for dry savanna,,,,,,,,,,,,
P138, Africa Upland Farming System,"The project involves the development of soil and cultivation management technologies that improve productivity, profitability and sustainability, and dissemination of recommended technologies to small-scale farmers in the wet and dry savannas in Africa",,,Crop Production,Yes,Yes,No,No,,ngo,JIRCAS ,Upper West Region,,,Ongoing,2022,,https://www.jircas.go.jp/en/program/prob/b6,Development of crop and soil management practices,,,,"Small-scale farmers and extension agencies in the target area, research institutions in the target country, Japanese companies",TVET actions,Yes,Development of sustainable crop and field management technologies and evaluation of their combined applications,Yes,Development of soil conservation standards and soil conservation technologies for dry savanna,,,,,,,,,,,,
P089,SOILS-Space to Place Initiative (SOILS-S2P),Improvement of the policy and regulatory environment,United States Agency for International Development,USAID,Crop Production,No,Yes,No,No,No,ngo,IFDC,Northern Region,No,Ghana,Ongoing,2023,2025,SOILS-Space to Place – IFDC,,,,,,,,,,,,,,,,,,,,,,
